1,1,49.771461,2.761401
1,2,25.143997,5.466074
1,4,12.684525,10.835167
1,8,9.804395,14.018097
1,16,10.841670,12.676917
1,32,13.977274,9.833030
1,64,19.137444,7.181678
1,128,25.580601,5.372780
1,256,31.105528,4.418474
1,512,32.325897,4.251667
1,1024,28.299879,4.856521
2,1,29.087658,4.724992
2,2,14.431039,9.523843
2,4,7.208416,19.066456
2,8,5.000034,27.487604
2,16,5.450211,25.217182
2,32,7.954394,17.278368
2,64,10.701722,12.842694
2,128,12.589462,10.916984
2,256,12.930673,10.628910
2,512,11.090466,12.392532
4,1,13.385734,10.267570
4,2,6.747881,20.367720
4,4,3.405225,40.361191
4,8,2.575389,53.366280
4,16,3.489905,39.381863
4,32,4.773716,28.790766
4,64,5.546304,24.780279
4,128,5.566911,24.688547
4,256,4.757063,28.891556
8,1,6.302421,21.807327
8,2,3.209917,42.816982
8,4,1.660960,82.746689
8,8,1.604710,85.647217
8,16,2.362958,58.163940
8,32,2.663491,51.601055
8,64,2.616948,52.518784
8,128,2.291817,59.969414
16,1,3.166577,43.403008
16,2,1.623145,84.674484
16,4,0.916104,150.025482
16,8,1.499196,91.675133
16,16,1.649016,83.346054
16,32,1.543865,89.022675
16,64,1.157666,118.720688
32,1,1.632608,84.183708
32,2,0.870077,157.961807
32,4,0.645461,212.931396
32,8,1.227852,111.934494
32,16,1.044722,131.555557
32,32,0.539827,254.598206
64,1,1.082097,127.011681
64,2,0.839955,163.626587
64,4,1.349496,101.844650
64,8,1.201404,114.398651
64,16,0.537506,255.697678
128,1,1.531941,89.715546
128,2,1.440281,95.425095
128,4,1.374111,100.020271
128,8,0.540568,254.249298
256,1,1.647876,83.403702
256,2,1.451695,94.674789
256,4,0.626038,219.537750
512,1,1.657674,82.910736
512,2,0.913595,150.437439
1024,1,1.635696,84.024734
